titles,abstracts,terms
Automated Resolution Selection for Image Segmentation,"It is well-known in image processing that computational cost increases
rapidly with the number and dimensions of the images to be processed. Several
fields, such as medical imaging, routinely use numerous very large images,
which might also be 3D and/or captured at several frequency bands, all adding
to the computational expense. Multiresolution analysis is a method of
increasing the efficiency of the segmentation process. One multiresolution
approach is the coarse-to-fine segmentation strategy, whereby the segmentation
starts at a coarse resolution and is then fine-tuned during subsequent steps.
The starting resolution for segmentation is generally selected arbitrarily with
no clear selection criteria. The research reported in this paper showed that
starting from different resolutions for image segmentation results in different
accuracies and computational times, even for images of the same category
(depicting similar scenes or objects). An automated method for resolution
selection for an input image would thus be beneficial. This paper introduces a
framework for the automated selection of the best resolution for image
segmentation. We propose a measure for defining the best resolution based on
user/system criteria, offering a trade-off between accuracy and computation
time. A learning approach is then introduced for the selection of the
resolution, whereby extracted image features are mapped to the previously
determined best resolution. In the learning process, class (i.e., resolution)
distribution is generally imbalanced, making effective learning from the data
difficult. Experiments conducted with three datasets using two different
segmentation algorithms show that the resolutions selected through learning
enable much faster segmentation than the original ones, while retaining at
least the original accuracy.",cs
Reward prediction for representation learning and reward shaping,"One of the fundamental challenges in reinforcement learning (RL) is the one
of data efficiency: modern algorithms require a very large number of training
samples, especially compared to humans, for solving environments with
high-dimensional observations. The severity of this problem is increased when
the reward signal is sparse. In this work, we propose learning a state
representation in a self-supervised manner for reward prediction. The reward
predictor learns to estimate either a raw or a smoothed version of the true
reward signal in environment with a single, terminating, goal state. We augment
the training of out-of-the-box RL agents by shaping the reward using our reward
predictor during policy learning. Using our representation for preprocessing
high-dimensional observations, as well as using the predictor for reward
shaping, is shown to significantly enhance Actor Critic using
Kronecker-factored Trust Region and Proximal Policy Optimization in single-goal
environments with visual inputs.",stat
Where-and-When to Look: Deep Siamese Attention Networks for Video-based Person Re-identification,"Video-based person re-identification (re-id) is a central application in
surveillance systems with significant concern in security. Matching persons
across disjoint camera views in their video fragments is inherently challenging
due to the large visual variations and uncontrolled frame rates. There are two
steps crucial to person re-id, namely discriminative feature learning and
metric learning. However, existing approaches consider the two steps
independently, and they do not make full use of the temporal and spatial
information in videos. In this paper, we propose a Siamese attention
architecture that jointly learns spatiotemporal video representations and their
similarity metrics. The network extracts local convolutional features from
regions of each frame, and enhance their discriminative capability by focusing
on distinct regions when measuring the similarity with another pedestrian
video. The attention mechanism is embedded into spatial gated recurrent units
to selectively propagate relevant features and memorize their spatial
dependencies through the network. The model essentially learns which parts
(\emph{where}) from which frames (\emph{when}) are relevant and distinctive for
matching persons and attaches higher importance therein. The proposed Siamese
model is end-to-end trainable to jointly learn comparable hidden
representations for paired pedestrian videos and their similarity value.
Extensive experiments on three benchmark datasets show the effectiveness of
each component of the proposed deep network while outperforming
state-of-the-art methods.",cs
Grassmannian diffusion maps based dimension reduction and classification for high-dimensional data,"This work introduces the Grassmannian Diffusion Maps, a novel nonlinear
dimensionality reduction technique that defines the affinity between points
through their representation as low-dimensional subspaces corresponding to
points on the Grassmann manifold. The method is designed for applications, such
as image recognition and data-based classification of high-dimensional data
that can be compactly represented in a lower dimensional subspace. The GDMaps
is composed of two stages. The first is a pointwise linear dimensionality
reduction wherein each high-dimensional object is mapped onto the Grassmann.
The second stage is a multi-point nonlinear kernel-based dimension reduction
using Diffusion maps to identify the subspace structure of the points on the
Grassmann manifold. To this aim, an appropriate Grassmannian kernel is used to
construct the transition matrix of a random walk on a graph connecting points
on the Grassmann manifold. Spectral analysis of the transition matrix yields
low-dimensional Grassmannian diffusion coordinates embedding the data into a
low-dimensional reproducing kernel Hilbert space. Further, a novel data
classification/recognition technique is developed based on the construction of
an overcomplete dictionary of reduced dimension whose atoms are given by the
Grassmannian diffusion coordinates. Three examples are considered. First, a
""toy"" example shows that the GDMaps can identify an appropriate parametrization
of structured points on the unit sphere. The second example demonstrates the
ability of the GDMaps to reveal the intrinsic subspace structure of
high-dimensional random field data. In the last example, a face recognition
problem is solved considering face images subject to varying illumination
conditions, changes in face expressions, and occurrence of occlusions.",stat
On the Iteration Complexity of Hypergradient Computation,"We study a general class of bilevel problems, consisting in the minimization
of an upper-level objective which depends on the solution to a parametric
fixed-point equation. Important instances arising in machine learning include
hyperparameter optimization, meta-learning, and certain graph and recurrent
neural networks. Typically the gradient of the upper-level objective
(hypergradient) is hard or even impossible to compute exactly, which has raised
the interest in approximation methods. We investigate some popular approaches
to compute the hypergradient, based on reverse mode iterative differentiation
and approximate implicit differentiation. Under the hypothesis that the fixed
point equation is defined by a contraction mapping, we present a unified
analysis which allows for the first time to quantitatively compare these
methods, providing explicit bounds for their iteration complexity. This
analysis suggests a hierarchy in terms of computational efficiency among the
above methods, with approximate implicit differentiation based on conjugate
gradient performing best. We present an extensive experimental comparison among
the methods which confirm the theoretical findings.",stat
HiCOMEX: Facial Action Unit Recognition Based on Hierarchy Intensity Distribution and COMEX Relation Learning,"The detection of facial action units (AUs) has been studied as it has the
competition due to the wide-ranging applications thereof. In this paper, we
propose a novel framework for the AU detection from a single input image by
grasping the \textbf{c}o-\textbf{o}ccurrence and \textbf{m}utual
\textbf{ex}clusion (COMEX) as well as the intensity distribution among AUs. Our
algorithm uses facial landmarks to detect the features of local AUs. The
features are input to a bidirectional long short-term memory (BiLSTM) layer for
learning the intensity distribution. Afterwards, the new AU feature
continuously passed through a self-attention encoding layer and a
continuous-state modern Hopfield layer for learning the COMEX relationships.
Our experiments on the challenging BP4D and DISFA benchmarks without any
external data or pre-trained models yield F1-scores of 63.7\% and 61.8\%
respectively, which shows our proposed networks can lead to performance
improvement in the AU detection task.",cs
Marrying Tracking with ELM: A Metric Constraint Guided Multiple Feature Fusion Method,"Object Tracking is one important problem in computer vision and surveillance
system. The existing models mainly exploit the single-view feature (i.e. color,
texture, shape) to solve the problem, failing to describe the objects
comprehensively. In this paper, we solve the problem from multi-view
perspective by leveraging multi-view complementary and latent information, so
as to be robust to the partial occlusion and background clutter especially when
the objects are similar to the target, meanwhile addressing tracking drift.
However, one big problem is that multi-view fusion strategy can inevitably
result tracking into non-efficiency. To this end, we propose to marry ELM
(Extreme learning machine) to multi-view fusion to train the global hidden
output weight, to effectively exploit the local information from each view.
Following this principle, we propose a novel method to obtain the optimal
sample as the target object, which avoids tracking drift resulting from noisy
samples. Our method is evaluated over 12 challenge image sequences challenged
with different attributes including illumination, occlusion, deformation, etc.,
which demonstrates better performance than several state-of-the-art methods in
terms of effectiveness and robustness.",cs
Human AI interaction loop training: New approach for interactive reinforcement learning,"Reinforcement Learning (RL) in various decision-making tasks of machine
learning provides effective results with an agent learning from a stand-alone
reward function. However, it presents unique challenges with large amounts of
environment states and action spaces, as well as in the determination of
rewards. This complexity, coming from high dimensionality and continuousness of
the environments considered herein, calls for a large number of learning trials
to learn about the environment through Reinforcement Learning. Imitation
Learning (IL) offers a promising solution for those challenges using a teacher.
In IL, the learning process can take advantage of human-sourced assistance
and/or control over the agent and environment. A human teacher and an agent
learner are considered in this study. The teacher takes part in the agent
training towards dealing with the environment, tackling a specific objective,
and achieving a predefined goal. Within that paradigm, however, existing IL
approaches have the drawback of expecting extensive demonstration information
in long-horizon problems. This paper proposes a novel approach combining IL
with different types of RL methods, namely state action reward state action
(SARSA) and asynchronous advantage actor-critic (A3C) agents, to overcome the
problems of both stand-alone systems. It is addressed how to effectively
leverage the teacher feedback, be it direct binary or indirect detailed for the
agent learner to learn sequential decision-making policies. The results of this
study on various OpenAI Gym environments show that this algorithmic method can
be incorporated with different combinations, significantly decreases both human
endeavor and tedious exploration process.",stat
Histogram Transform Ensembles for Large-scale Regression,"We propose a novel algorithm for large-scale regression problems named
histogram transform ensembles (HTE), composed of random rotations, stretchings,
and translations. First of all, we investigate the theoretical properties of
HTE when the regression function lies in the H\""{o}lder space $C^{k,\alpha}$,
$k \in \mathbb{N}_0$, $\alpha \in (0,1]$. In the case that $k=0, 1$, we adopt
the constant regressors and develop the na\""{i}ve histogram transforms (NHT).
Within the space $C^{0,\alpha}$, although almost optimal convergence rates can
be derived for both single and ensemble NHT, we fail to show the benefits of
ensembles over single estimators theoretically. In contrast, in the subspace
$C^{1,\alpha}$, we prove that if $d \geq 2(1+\alpha)/\alpha$, the lower bound
of the convergence rates for single NHT turns out to be worse than the upper
bound of the convergence rates for ensemble NHT. In the other case when $k \geq
2$, the NHT may no longer be appropriate in predicting smoother regression
functions. Instead, we apply kernel histogram transforms (KHT) equipped with
smoother regressors such as support vector machines (SVMs), and it turns out
that both single and ensemble KHT enjoy almost optimal convergence rates. Then
we validate the above theoretical results by numerical experiments. On the one
hand, simulations are conducted to elucidate that ensemble NHT outperform
single NHT. On the other hand, the effects of bin sizes on accuracy of both NHT
and KHT also accord with theoretical analysis. Last but not least, in the
real-data experiments, comparisons between the ensemble KHT, equipped with
adaptive histogram transforms, and other state-of-the-art large-scale
regression estimators verify the effectiveness and accuracy of our algorithm.",math
Cloud-based Image Classification Service Is Not Robust To Simple Transformations: A Forgotten Battlefield,"Many recent works demonstrated that Deep Learning models are vulnerable to
adversarial examples.Fortunately, generating adversarial examples usually
requires white-box access to the victim model, and the attacker can only access
the APIs opened by cloud platforms. Thus, keeping models in the cloud can
usually give a (false) sense of security.Unfortunately, cloud-based image
classification service is not robust to simple transformations such as Gaussian
Noise, Salt-and-Pepper Noise, Rotation and Monochromatization. In this
paper,(1) we propose one novel attack method called Image Fusion(IF) attack,
which achieve a high bypass rate,can be implemented only with OpenCV and is
difficult to defend; and (2) we make the first attempt to conduct an extensive
empirical study of Simple Transformation (ST) attacks against real-world
cloud-based classification services. Through evaluations on four popular cloud
platforms including Amazon, Google, Microsoft, Clarifai, we demonstrate that ST
attack has a success rate of approximately 100% except Amazon approximately
50%, IF attack have a success rate over 98% among different classification
services. (3) We discuss the possible defenses to address these security
challenges.Experiments show that our defense technology can effectively defend
known ST attacks.",eess
Target Transfer Q-Learning and Its Convergence Analysis,"Q-learning is one of the most popular methods in Reinforcement Learning (RL).
Transfer Learning aims to utilize the learned knowledge from source tasks to
help new tasks to improve the sample complexity of the new tasks. Considering
that data collection in RL is both more time and cost consuming and Q-learning
converges slowly comparing to supervised learning, different kinds of transfer
RL algorithms are designed. However, most of them are heuristic with no
theoretical guarantee of the convergence rate. Therefore, it is important for
us to clearly understand when and how will transfer learning help RL method and
provide the theoretical guarantee for the improvement of the sample complexity.
In this paper, we propose to transfer the Q-function learned in the source task
to the target of the Q-learning in the new task when certain safe conditions
are satisfied. We call this new transfer Q-learning method target transfer
Q-Learning. The safe conditions are necessary to avoid the harm to the new
tasks and thus ensure the convergence of the algorithm. We study the
convergence rate of the target transfer Q-learning. We prove that if the two
tasks are similar with respect to the MDPs, the optimal Q-functions in the
source and new RL tasks are similar which means the error of the transferred
target Q-function in new MDP is small. Also, the convergence rate analysis
shows that the target transfer Q-Learning will converge faster than Q-learning
if the error of the transferred target Q-function is smaller than the current
Q-function in the new task. Based on our theoretical results, we design the
safe condition as the Bellman error of the transferred target Q-function is
less than the current Q-function. Our experiments are consistent with our
theoretical founding and verified the effectiveness of our proposed target
transfer Q-learning method.",stat
Traits & Transferability of Adversarial Examples against Instance Segmentation & Object Detection,"Despite the recent advancements in deploying neural networks for image
classification, it has been found that adversarial examples are able to fool
these models leading them to misclassify the images. Since these models are now
being widely deployed, we provide an insight on the threat of these adversarial
examples by evaluating their characteristics and transferability to more
complex models that utilize Image Classification as a subtask.
  We demonstrate the ineffectiveness of adversarial examples when applied to
Instance Segmentation & Object Detection models. We show that this
ineffectiveness arises from the inability of adversarial examples to withstand
transformations such as scaling or a change in lighting conditions. Moreover,
we show that there exists a small threshold below which the adversarial
property is retained while applying these input transformations.
  Additionally, these attacks demonstrate weak cross-network transferability
across neural network architectures, e.g. VGG16 and ResNet50, however, the
attack may fool both the networks if passed sequentially through networks
during its formation.
  The lack of scalability and transferability challenges the question of how
adversarial images would be effective in the real world.",cs
Unsupervised Domain-Adaptive Person Re-identification Based on Attributes,"Pedestrian attributes, e.g., hair length, clothes type and color, locally
describe the semantic appearance of a person. Training person re-identification
(ReID) algorithms under the supervision of such attributes have proven to be
effective in extracting local features which are important for ReID. Unlike
person identity, attributes are consistent across different domains (or
datasets). However, most of ReID datasets lack attribute annotations. On the
other hand, there are several datasets labeled with sufficient attributes for
the case of pedestrian attribute recognition. Exploiting such data for ReID
purpose can be a way to alleviate the shortage of attribute annotations in ReID
case. In this work, an unsupervised domain adaptive ReID feature learning
framework is proposed to make full use of attribute annotations. We propose to
transfer attribute-related features from their original domain to the ReID one:
to this end, we introduce an adversarial discriminative domain adaptation
method in order to learn domain invariant features for encoding semantic
attributes. Experiments on three large-scale datasets validate the
effectiveness of the proposed ReID framework.",cs
Temporal Convolutional Neural Network for the Classification of Satellite Image Time Series,"New remote sensing sensors now acquire high spatial and spectral Satellite
Image Time Series (SITS) of the world. These series of images are a key
component of classification systems that aim at obtaining up-to-date and
accurate land cover maps of the Earth's surfaces. More specifically, the
combination of the temporal, spectral and spatial resolutions of new SITS makes
possible to monitor vegetation dynamics. Although traditional classification
algorithms, such as Random Forest (RF), have been successfully applied for SITS
classification, these algorithms do not make the most of the temporal domain.
Conversely, some approaches that take into account the temporal dimension have
recently been tested, especially Recurrent Neural Networks (RNNs). This paper
proposes an exhaustive study of another deep learning approaches, namely
Temporal Convolutional Neural Networks (TempCNNs) where convolutions are
applied in the temporal dimension. The goal is to quantitatively and
qualitatively evaluate the contribution of TempCNNs for SITS classification.
This paper proposes a set of experiments performed on one million time series
extracted from 46 Formosat-2 images. The experimental results show that
TempCNNs are more accurate than RF and RNNs, that are the current state of the
art for SITS classification. We also highlight some differences with results
obtained in computer vision, e.g. about pooling layers. Moreover, we provide
some general guidelines on the network architecture, common regularization
mechanisms, and hyper-parameter values such as batch size. Finally, we assess
the visual quality of the land cover maps produced by TempCNNs.",cs
Compositional Abstraction Error and a Category of Causal Models,"Interventional causal models describe several joint distributions over some
variables used to describe a system, one for each intervention setting. They
provide a formal recipe for how to move between the different joint
distributions and make predictions about the variables upon intervening on the
system. Yet, it is difficult to formalise how we may change the underlying
variables used to describe the system, say moving from fine-grained to
coarse-grained variables. Here, we argue that compositionality is a desideratum
for such model transformations and the associated errors: When abstracting a
reference model M iteratively, first obtaining M' and then further simplifying
that to obtain M'', we expect the composite transformation from M to M'' to
exist and its error to be bounded by the errors incurred by each individual
transformation step. Category theory, the study of mathematical objects via
compositional transformations between them, offers a natural language to
develop our framework for model transformations and abstractions. We introduce
a category of finite interventional causal models and, leveraging theory of
enriched categories, prove the desired compositionality properties for our
framework.",math
Understanding and Improvement of Adversarial Training for Network Embedding from an Optimization Perspective,"Network Embedding aims to learn a function mapping the nodes to Euclidean
space contribute to multiple learning analysis tasks on networks. However, the
noisy information behind the real-world networks and the overfitting problem
both negatively impact the quality of embedding vectors. To tackle these
problems, researchers utilize Adversarial Training for Network Embedding
(AdvTNE) and achieve state-of-the-art performance. Unlike the mainstream
methods introducing perturbations on the network structure or the data feature,
AdvTNE directly perturbs the model parameters, which provides a new chance to
understand the mechanism behind. In this paper, we explain AdvTNE theoretically
from an optimization perspective. Considering the Power-law property of
networks and the optimization objective, we analyze the reason for its
excellent results. According to the above analysis, we propose a new activation
to enhance the performance of AdvTNE. We conduct extensive experiments on four
real networks to validate the effectiveness of our method in node
classification and link prediction. The results demonstrate that our method is
superior to the state-of-the-art baseline methods.",cs
MosAIc: Finding Artistic Connections across Culture with Conditional Image Retrieval,"We introduce MosAIc, an interactive web app that allows users to find pairs
of semantically related artworks that span different cultures, media, and
millennia. To create this application, we introduce Conditional Image Retrieval
(CIR) which combines visual similarity search with user supplied filters or
""conditions"". This technique allows one to find pairs of similar images that
span distinct subsets of the image corpus. We provide a generic way to adapt
existing image retrieval data-structures to this new domain and provide
theoretical bounds on our approach's efficiency. To quantify the performance of
CIR systems, we introduce new datasets for evaluating CIR methods and show that
CIR performs non-parametric style transfer. Finally, we demonstrate that our
CIR data-structures can identify ""blind spots"" in Generative Adversarial
Networks (GAN) where they fail to properly model the true data distribution.",stat
Cosine meets Softmax: A tough-to-beat baseline for visual grounding,"In this paper, we present a simple baseline for visual grounding for
autonomous driving which outperforms the state of the art methods, while
retaining minimal design choices. Our framework minimizes the cross-entropy
loss over the cosine distance between multiple image ROI features with a text
embedding (representing the give sentence/phrase). We use pre-trained networks
for obtaining the initial embeddings and learn a transformation layer on top of
the text embedding. We perform experiments on the Talk2Car dataset and achieve
68.7% AP50 accuracy, improving upon the previous state of the art by 8.6%. Our
investigation suggests reconsideration towards more approaches employing
sophisticated attention mechanisms or multi-stage reasoning or complex metric
learning loss functions by showing promise in simpler alternatives.",cs
Precise Recovery of Latent Vectors from Generative Adversarial Networks,"Generative adversarial networks (GANs) transform latent vectors into visually
plausible images. It is generally thought that the original GAN formulation
gives no out-of-the-box method to reverse the mapping, projecting images back
into latent space. We introduce a simple, gradient-based technique called
stochastic clipping. In experiments, for images generated by the GAN, we
precisely recover their latent vector pre-images 100% of the time. Additional
experiments demonstrate that this method is robust to noise. Finally, we show
that even for unseen images, our method appears to recover unique encodings.",stat
Clustering Left-Censored Multivariate Time-Series,"Unsupervised learning seeks to uncover patterns in data. However, different
kinds of noise may impede the discovery of useful substructure from real-world
time-series data. In this work, we focus on mitigating the interference of
left-censorship in the task of clustering. We provide conditions under which
clusters and left-censorship may be identified; motivated by this result, we
develop a deep generative, continuous-time model of time-series data that
clusters while correcting for censorship time. We demonstrate accurate, stable,
and interpretable results on synthetic data that outperform several benchmarks.
To showcase the utility of our framework on real-world problems, we study how
left-censorship can adversely affect the task of disease phenotyping, resulting
in the often incorrect assumption that longitudinal patient data are aligned by
disease stage. In reality, patients at the time of diagnosis are at different
stages of the disease -- both late and early due to differences in when
patients seek medical care and such discrepancy can confound unsupervised
learning algorithms. On two clinical datasets, our model corrects for this form
of censorship and recovers known clinical subtypes.",stat
Deeply Learning the Messages in Message Passing Inference,"Deep structured output learning shows great promise in tasks like semantic
image segmentation. We proffer a new, efficient deep structured model learning
scheme, in which we show how deep Convolutional Neural Networks (CNNs) can be
used to estimate the messages in message passing inference for structured
prediction with Conditional Random Fields (CRFs). With such CNN message
estimators, we obviate the need to learn or evaluate potential functions for
message calculation. This confers significant efficiency for learning, since
otherwise when performing structured learning for a CRF with CNN potentials it
is necessary to undertake expensive inference for every stochastic gradient
iteration. The network output dimension for message estimation is the same as
the number of classes, in contrast to the network output for general CNN
potential functions in CRFs, which is exponential in the order of the
potentials. Hence CNN message learning has fewer network parameters and is more
scalable for cases that a large number of classes are involved. We apply our
method to semantic image segmentation on the PASCAL VOC 2012 dataset. We
achieve an intersection-over-union score of 73.4 on its test set, which is the
best reported result for methods using the VOC training images alone. This
impressive performance demonstrates the effectiveness and usefulness of our CNN
message learning method.",stat
Improved Part Segmentation Performance by Optimising Realism of Synthetic Images using Cycle Generative Adversarial Networks,"In this paper we report on improved part segmentation performance using
convolutional neural networks to reduce the dependency on the large amount of
manually annotated empirical images. This was achieved by optimising the visual
realism of synthetic agricultural images.In Part I, a cycle consistent
generative adversarial network was applied to synthetic and empirical images
with the objective to generate more realistic synthetic images by translating
them to the empirical domain. We first hypothesise and confirm that plant part
image features such as color and texture become more similar to the empirical
domain after translation of the synthetic images.Results confirm this with an
improved mean color distribution correlation with the empirical data prior of
0.62 and post translation of 0.90. Furthermore, the mean image features of
contrast, homogeneity, energy and entropy moved closer to the empirical mean,
post translation. In Part II, 7 experiments were performed using convolutional
neural networks with different combinations of synthetic, synthetic translated
to empirical and empirical images. We hypothesised that the translated images
can be used for (i) improved learning of empirical images, and (ii) that
learning without any fine-tuning with empirical images is improved by
bootstrapping with translated images over bootstrapping with synthetic images.
Results confirm our second and third hypotheses. First a maximum
intersection-over-union performance was achieved of 0.52 when bootstrapping
with translated images and fine-tuning with empirical images; an 8% increase
compared to only using synthetic images. Second, training without any empirical
fine-tuning resulted in an average IOU of 0.31; a 55% performance increase over
previous methods that only used synthetic images.",cs
Video Moment Retrieval via Natural Language Queries,"In this paper, we propose a novel method for video moment retrieval (VMR)
that achieves state of the arts (SOTA) performance on R@1 metrics and
surpassing the SOTA on the high IoU metric (R@1, IoU=0.7).
  First, we propose to use a multi-head self-attention mechanism, and further a
cross-attention scheme to capture video/query interaction and long-range query
dependencies from video context. The attention-based methods can develop
frame-to-query interaction and query-to-frame interaction at arbitrary
positions and the multi-head setting ensures the sufficient understanding of
complicated dependencies. Our model has a simple architecture, which enables
faster training and inference while maintaining .
  Second, We also propose to use multiple task training objective consists of
moment segmentation task, start/end distribution prediction and start/end
location regression task. We have verified that start/end prediction are noisy
due to annotator disagreement and joint training with moment segmentation task
can provide richer information since frames inside the target clip are also
utilized as positive training examples.
  Third, we propose to use an early fusion approach, which achieves better
performance at the cost of inference time. However, the inference time will not
be a problem for our model since our model has a simple architecture which
enables efficient training and inference.",cs
Time-aware Large Kernel Convolutions,"To date, most state-of-the-art sequence modeling architectures use attention
to build generative models for language based tasks. Some of these models use
all the available sequence tokens to generate an attention distribution which
results in time complexity of $O(n^2)$. Alternatively, they utilize depthwise
convolutions with softmax normalized kernels of size $k$ acting as a
limited-window self-attention, resulting in time complexity of $O(k{\cdot}n)$.
In this paper, we introduce Time-aware Large Kernel (TaLK) Convolutions, a
novel adaptive convolution operation that learns to predict the size of a
summation kernel instead of using a fixed-sized kernel matrix. This method
yields a time complexity of $O(n)$, effectively making the sequence encoding
process linear to the number of tokens. We evaluate the proposed method on
large-scale standard machine translation, abstractive summarization and
language modeling datasets and show that TaLK Convolutions constitute an
efficient improvement over other attention/convolution based approaches.",stat
To Trust Or Not To Trust A Classifier,"Knowing when a classifier's prediction can be trusted is useful in many
applications and critical for safely using AI. While the bulk of the effort in
machine learning research has been towards improving classifier performance,
understanding when a classifier's predictions should and should not be trusted
has received far less attention. The standard approach is to use the
classifier's discriminant or confidence score; however, we show there exists an
alternative that is more effective in many situations. We propose a new score,
called the trust score, which measures the agreement between the classifier and
a modified nearest-neighbor classifier on the testing example. We show
empirically that high (low) trust scores produce surprisingly high precision at
identifying correctly (incorrectly) classified examples, consistently
outperforming the classifier's confidence score as well as many other
baselines. Further, under some mild distributional assumptions, we show that if
the trust score for an example is high (low), the classifier will likely agree
(disagree) with the Bayes-optimal classifier. Our guarantees consist of
non-asymptotic rates of statistical consistency under various nonparametric
settings and build on recent developments in topological data analysis.",stat
SAT: 2D Semantics Assisted Training for 3D Visual Grounding,"3D visual grounding aims at grounding a natural language description about a
3D scene, usually represented in the form of 3D point clouds, to the targeted
object region. Point clouds are sparse, noisy, and contain limited semantic
information compared with 2D images. These inherent limitations make the 3D
visual grounding problem more challenging. In this study, we propose 2D
Semantics Assisted Training (SAT) that utilizes 2D image semantics in the
training stage to ease point-cloud-language joint representation learning and
assist 3D visual grounding. The main idea is to learn auxiliary alignments
between rich, clean 2D object representations and the corresponding objects or
mentioned entities in 3D scenes. SAT takes 2D object semantics, i.e., object
label, image feature, and 2D geometric feature, as the extra input in training
but does not require such inputs during inference. By effectively utilizing 2D
semantics in training, our approach boosts the accuracy on the Nr3D dataset
from 37.7% to 49.2%, which significantly surpasses the non-SAT baseline with
the identical network architecture and inference input. Our approach
outperforms the state of the art by large margins on multiple 3D visual
grounding datasets, i.e., +10.4% absolute accuracy on Nr3D, +9.9% on Sr3D, and
+5.6% on ScanRef.",cs
Vision-Based Mobile Robotics Obstacle Avoidance With Deep Reinforcement Learning,"Obstacle avoidance is a fundamental and challenging problem for autonomous
navigation of mobile robots. In this paper, we consider the problem of obstacle
avoidance in simple 3D environments where the robot has to solely rely on a
single monocular camera. In particular, we are interested in solving this
problem without relying on localization, mapping, or planning techniques. Most
of the existing work consider obstacle avoidance as two separate problems,
namely obstacle detection, and control. Inspired by the recent advantages of
deep reinforcement learning in Atari games and understanding highly complex
situations in Go, we tackle the obstacle avoidance problem as a data-driven
end-to-end deep learning approach. Our approach takes raw images as input and
generates control commands as output. We show that discrete action spaces are
outperforming continuous control commands in terms of expected average reward
in maze-like environments. Furthermore, we show how to accelerate the learning
and increase the robustness of the policy by incorporating predicted depth maps
by a generative adversarial network.",cs
SCG-Net: Self-Constructing Graph Neural Networks for Semantic Segmentation,"Capturing global contextual representations by exploiting long-range
pixel-pixel dependencies has shown to improve semantic segmentation
performance. However, how to do this efficiently is an open question as current
approaches of utilising attention schemes or very deep models to increase the
models field of view, result in complex models with large memory consumption.
Inspired by recent work on graph neural networks, we propose the
Self-Constructing Graph (SCG) module that learns a long-range dependency graph
directly from the image and uses it to propagate contextual information
efficiently to improve semantic segmentation. The module is optimised via a
novel adaptive diagonal enhancement method and a variational lower bound that
consists of a customized graph reconstruction term and a Kullback-Leibler
divergence regularization term. When incorporated into a neural network
(SCG-Net), semantic segmentation is performed in an end-to-end manner and
competitive performance (mean F1-scores of 92.0% and 89.8% respectively) on the
publicly available ISPRS Potsdam and Vaihingen datasets is achieved, with much
fewer parameters, and at a lower computational cost compared to related pure
convolutional neural network (CNN) based models.",cs
FedNL: Making Newton-Type Methods Applicable to Federated Learning,"Inspired by recent work of Islamov et al (2021), we propose a family of
Federated Newton Learn (FedNL) methods, which we believe is a marked step in
the direction of making second-order methods applicable to FL. In contrast to
the aforementioned work, FedNL employs a different Hessian learning technique
which i) enhances privacy as it does not rely on the training data to be
revealed to the coordinating server, ii) makes it applicable beyond generalized
linear models, and iii) provably works with general contractive compression
operators for compressing the local Hessians, such as Top-$K$ or Rank-$R$,
which are vastly superior in practice. Notably, we do not need to rely on error
feedback for our methods to work with contractive compressors. Moreover, we
develop FedNL-PP, FedNL-CR and FedNL-LS, which are variants of FedNL that
support partial participation, and globalization via cubic regularization and
line search, respectively, and FedNL-BC, which is a variant that can further
benefit from bidirectional compression of gradients and models, i.e., smart
uplink gradient and smart downlink model compression. We prove local
convergence rates that are independent of the condition number, the number of
training data points, and compression variance. Our communication efficient
Hessian learning technique provably learns the Hessian at the optimum. Finally,
we perform a variety of numerical experiments that show that our FedNL methods
have state-of-the-art communication complexity when compared to key baselines.",math
The Gossiping Insert-Eliminate Algorithm for Multi-Agent Bandits,"We consider a decentralized multi-agent Multi Armed Bandit (MAB) setup
consisting of $N$ agents, solving the same MAB instance to minimize individual
cumulative regret. In our model, agents collaborate by exchanging messages
through pairwise gossip style communications on an arbitrary connected graph.
We develop two novel algorithms, where each agent only plays from a subset of
all the arms. Agents use the communication medium to recommend only arm-IDs
(not samples), and thus update the set of arms from which they play. We
establish that, if agents communicate $\Omega(\log(T))$ times through any
connected pairwise gossip mechanism, then every agent's regret is a factor of
order $N$ smaller compared to the case of no collaborations. Furthermore, we
show that the communication constraints only have a second order effect on the
regret of our algorithm. We then analyze this second order term of the regret
to derive bounds on the regret-communication tradeoffs. Finally, we empirically
evaluate our algorithm and conclude that the insights are fundamental and not
artifacts of our bounds. We also show a lower bound which gives that the regret
scaling obtained by our algorithm cannot be improved even in the absence of any
communication constraints. Our results thus demonstrate that even a minimal
level of collaboration among agents greatly reduces regret for all agents.",stat
